SkillId,Skill_US,IsSpecialized,IsSoftware,IsBaseline,IsLanguage,IsActive,SkillCluster,SkillClusterFamily
1,na,0,0,0,0,1,na,na
2,Preparation of Pleadings,1,0,0,0,1,Litigation,Legal
3,Anxiety Reduction,1,0,0,0,1,Mental and Behavioral Health Specialties,Health Care
4,Low Carbon Solutions,1,0,0,0,1,na,na
5,Injections,1,0,0,0,1,Blood Collection,Health Care
6,Quarryingrals,1,0,0,0,1,na,na
7,Cash Application,1,0,0,0,1,na,na
8,3M Codefinder,1,1,0,0,1,na,na
9,Barge Landings,1,0,0,0,1,na,na
10,Hygiene Advisement,1,0,0,0,1,na,na
11,HM Customs and Excise,1,0,0,0,1,na,na
12,Behavioral Health,1,0,0,0,1,Mental and Behavioral Health Specialties,Health Care
13,Energy Management,1,0,0,0,1,Energy Management,Energy and Utilities
14,Logistics Planning,1,0,0,0,1,Logistics,Supply Chain and Logistics
15,Public Access to Court Electronic Records (PACER),1,0,0,0,1,Litigation,Legal
16,Heavy Rail Transit Systems,1,0,0,0,1,na,na
17,Performance Analysis,1,0,0,0,1,Performance Management,Business
18,Radiculopathy,1,0,0,0,1,na,na
19,Electronic Health Records,1,0,0,0,1,Medical Records,Health Care
20,Surface Water Remediation,1,0,0,0,1,na,na
21,Scattered Castles,1,0,0,0,1,na,na
22,Property Claims,1,0,0,0,1,Claims Processing,Customer and Client Support
23,15/16 Wrenches,1,0,0,0,1,na,na
24,Benzodiazepines,1,0,0,0,1,na,na
25,Body Part Repair,1,0,0,0,1,na,na
26,Fuzzy Clustering,1,0,0,0,1,Data Science,Analysis
27,Critical Program Information,1,0,0,0,1,na,na
28,Organizational Analysis,1,0,0,0,1,Human Resource Management and Planning,Human Resources
29,Chronic Leukemia Diagnosis / Treatment,1,0,0,0,1,na,na
30,JDBC,1,1,0,0,1,Java,Information Technology
31,Intravenous Fluids Start Up,1,0,0,0,1,na,na
32,Differential Diagnosis,1,0,0,0,1,General Medicine,Health Care
33,J++,1,1,0,0,1,na,na
34,Viral Pathogens,1,0,0,0,1,na,na
35,Advertising Sales,1,0,0,0,1,Specialized Sales,Sales
36,Distribution Invoicing,1,0,0,0,1,na,na
37,Document Delivery,1,0,0,0,1,Library and Cataloging,Education and Training
38,Climate Outreach,1,0,0,0,1,na,na
39,Suspension Cell Culture,1,0,0,0,1,na,na
40,Eudora Mail,0,0,1,0,1,na,na
41,Mcafee Total Virus Defense,1,1,0,0,1,na,na
42,Knowledge of Healthcare Applications,1,0,0,0,1,na,na
43,Swelling Detection,1,0,0,0,1,na,na
44,Water Distribution System Design,1,0,0,0,1,na,na
45,Health Level Seven (HL7),1,0,0,0,1,Clinical Informatics,Health Care
46,Materials Management Applications,1,0,0,0,1,na,na
47,Adaptive Clinical Trials,1,0,0,0,1,na,na
49,Elder Care Industry Knowledge,1,0,0,0,1,Retirement Industry Knowledge,Industry Knowledge
50,Soil Collection,1,0,0,0,1,Environmental Geology,Environment
51,3D Modeling / Design,1,0,0,0,1,Drafting and Engineering Design,Engineering
52,Manganese Extraction,1,0,0,0,1,na,na
53,Procedure Standardization,1,0,0,0,1,na,na
54,Warehouse Management Systems,1,0,0,0,1,Warehouse Management,Supply Chain and Logistics
55,Electrical Testing Instruments,1,0,0,0,1,na,na
57,Pistil-Pollen Incompatibility,1,0,0,0,1,na,na
58,Digital Industry Knowledge,1,0,0,0,1,Media and Communication Industry Knowledge,Industry Knowledge
59,Patient-Shielding Techniques,1,0,0,0,1,na,na
60,Fever of Unknown Origin,1,0,0,0,1,na,na
61,Payroll Preparation,1,0,0,0,1,Payroll,Human Resources
62,Electrical Part Installation,1,0,0,0,1,na,na
63,Copy Number Variation (CNV) Measurement,1,0,0,0,1,na,na
64,Laryngeal Cancer knowledge,1,0,0,0,1,na,na
65,Issuing Exchanges,1,0,0,0,1,na,na
66,Potable Water Supply Management,1,0,0,0,1,na,na
67,Restoration Planning,1,0,0,0,1,na,na
68,Blood Product Administration,1,0,0,0,1,na,na
69,Etherification,1,0,0,0,1,na,na
70,Psychiatric Evaluation,1,0,0,0,1,Mental and Behavioral Health Specialties,Health Care
71,Retail Calendar Meeting,1,0,0,0,1,na,na
72,Calibration,1,0,0,0,1,Electrical and Mechanical Labor,"Maintenance, Repair, and Installation"
73,Security Officer Evaluation,1,0,0,0,1,na,na
74,Stem Cell Preparation,1,0,0,0,1,na,na
75,E-Commerce,1,0,0,0,1,E-Commerce,Sales
76,Pegasus,1,0,0,0,1,na,na
77,Chi Square Automatic Interaction Detection (CHAID),1,0,0,0,1,Data Science,Analysis
78,Leadership in Energy and Environmental Design (LEED) Rating System,1,0,0,0,1,na,na
80,Pipe Laying,1,0,0,0,1,Plumbing,"Maintenance, Repair, and Installation"
81,Claims and Adjustment Notification,1,0,0,0,1,na,na
82,Climate Data Analysis,1,0,0,0,1,na,na
83,Standards Establishment,1,0,0,0,1,na,na
84,JBuilder,1,1,0,0,1,na,na
85,Investment Analysis,1,0,0,0,1,Financial Analysis,Finance
86,Nodule,1,0,0,0,1,na,na
87,Production Schedule Development,1,0,0,0,1,Manufacturing Processes,Manufacturing and Production
88,Stripping Tools,1,0,0,0,1,na,na
89,Hygiene Theory,1,0,0,0,1,na,na
91,Unisure,1,0,0,0,1,na,na
92,Seismic Sensing,1,0,0,0,1,na,na
93,Telehealth,1,0,0,0,1,Basic Patient Care,Health Care
94,Target Market,1,0,0,0,1,na,na
95,Aviation Ground Operations,1,0,0,0,1,na,na
96,River Bank Stabilizing,1,0,0,0,1,na,na
97,Ocular Tissue Replacement,1,0,0,0,1,na,na
98,Will Preparation,1,0,0,0,1,na,na
99,Regulatory Compliance,1,0,0,0,1,Regulation and Law Compliance,Legal
101,Creatinine,1,0,0,0,1,na,na
102,Web Communications,1,0,0,0,1,na,na
103,Product Advertising,1,0,0,0,1,na,na
104,Fortran,1,1,0,0,1,Mainframe Technologies,Information Technology
105,Traditional and Herbal Medicine,1,0,0,0,1,Alternative Therapy,Health Care
106,Ambulance Decontamination,1,0,0,0,1,na,na
107,Software Development,1,1,0,0,1,Software Development Principles,Information Technology
108,Cassiterite Quarrying,1,0,0,0,1,na,na
109,Andro,1,0,0,0,1,na,na
110,Ability to Communicate Medical Terminology,1,0,0,0,1,Patient Education and Support,Health Care
111,Jigsaws,1,0,0,0,1,na,na
112,Advanced Manufacturing Plant Design,1,0,0,0,1,na,na
113,Leukodystrophy,1,0,0,0,1,na,na
114,Healthcare Delivery Systems,1,0,0,0,1,Health Care Procedure and Regulation,Health Care
115,Varus,1,0,0,0,1,na,na
116,Investment Planning,1,0,0,0,1,Investment Management,Finance
117,Mixed Signal Oscilloscopes,1,0,0,0,1,na,na
118,Aneurysm Diagnosis / Treatment,1,0,0,0,1,na,na
119,Bottom-Up Replanning,1,0,0,0,1,na,na
120,Coagulation Factor,1,0,0,0,1,na,na
121,Immune Response Regulation,1,0,0,0,1,na,na
122,Signals Intelligence,1,0,0,0,1,Intelligence Collection and Analysis,Public Safety and National Security
123,DNA Arrays,1,0,0,0,1,na,na
125,Reflex Sympathetic Dystrophy,1,0,0,0,1,na,na
126,Data Warehouse Development,1,0,0,0,1,Data Warehousing,Information Technology
127,Wastewater Treatment,1,0,0,0,1,Water Testing and Treatment,Environment
128,Legal Document Interpretation,1,0,0,0,1,Litigation,Legal
130,Plan Revision,0,0,1,0,1,na,na
131,WS_FTP,1,0,0,0,1,na,na
132,Metric Studio,1,1,0,0,1,na,na
133,Packaging Regulations,1,0,0,0,1,na,na
134,TAMS Analyzer,1,1,0,0,1,na,na
135,Decentralized Wastewater Treatment System,1,0,0,0,1,na,na
136,Landfill Gas Collection,1,0,0,0,1,na,na
137,Call Center Case Management Tracking System,1,1,0,0,1,na,na
138,Schizophrenia Psychosis,1,0,0,0,1,na,na
139,Legal Document Composition,1,0,0,0,1,Litigation,Legal
140,Payment Receiving,1,0,0,0,1,Cash Management,Finance
141,Dental Needs Analysis,1,0,0,0,1,na,na
142,Leukemia Diagnosis / Treatment,1,0,0,0,1,Oncology,Health Care
143,Medical Scanning Procedures,1,0,0,0,1,na,na
144,Business Intelligence Reporting,1,0,0,0,1,Business Intelligence,Analysis
145,Green Plumbing Equipment Installation,1,0,0,0,1,na,na
146,Audio Vault Automation,1,1,0,0,1,na,na
147,Bath Hardware,1,0,0,0,1,na,na
148,Language Arts,1,0,0,0,1,Teaching,Education and Training
149,Jaw Surgery,1,0,0,0,1,na,na
150,Propensity Modeling,1,0,0,0,1,na,na
151,Diagnostic Mammogram,1,0,0,0,1,na,na
152,SiMPLE++,1,0,0,0,1,na,na
153,Below-Slab PVC,1,0,0,0,1,na,na
154,Color Editing,1,0,0,0,1,Graphic and Visual Design,Design
155,Pressure Brake Bleeders,1,0,0,0,1,na,na
156,Biofuels Extraction,1,0,0,0,1,na,na
157,Clinical Research Trials,1,0,0,0,1,Clinical Research,Health Care
158,Mining Engineering,1,0,0,0,1,Geotechnical Engineering,Engineering
159,Laceration,1,0,0,0,1,Injury Treatment,Health Care
160,Musculoskeletal System Correction,1,0,0,0,1,na,na
161,Appliance Design,1,0,0,0,1,na,na
163,Data Operations,1,0,0,0,1,Data Management,Information Technology
164,Flaring Tools,1,0,0,0,1,na,na
165,Ulcerative Colitis,1,0,0,0,1,na,na
166,Green Manufacturing,1,0,0,0,1,na,na
167,Gastrointestinal (GI) bleeding,1,0,0,0,1,na,na
168,Biotransformations,1,0,0,0,1,na,na
169,Environmental Data Analysis,1,0,0,0,1,na,na
170,Ship Terminal Operations,1,0,0,0,1,na,na
171,Wooden Structure Building,1,0,0,0,1,na,na
172,Billing Arrangements,1,0,0,0,1,Billing and Invoicing,Finance
173,GRASS GIS,1,1,0,0,1,Geographic Information System (GIS) Software,Information Technology
174,Slate Extraction,1,0,0,0,1,na,na
175,Acute Care Coding,1,0,0,0,1,na,na
176,Financial Aid Eligibility,1,0,0,0,1,Financial Aid Counseling,Finance
177,Apache Webserver,1,1,0,0,1,Web Servers,Information Technology
178,Metal Mining,1,0,0,0,1,na,na
180,Medication Stocking,1,0,0,0,1,na,na
181,Solar Development,1,0,0,0,1,na,na
182,Coordinate Measuring Machine (CMM),1,0,0,0,1,Machine Tools,Manufacturing and Production
183,DATATRIEVE,1,0,0,0,1,na,na
184,Surgical Technician,1,0,0,0,1,Surgery,Health Care
185,Yttrium Stripping,1,0,0,0,1,na,na
186,ISO 16949,1,0,0,0,1,na,na
187,Baby Sign Language,1,0,0,0,1,na,na
188,Soil Management,1,0,0,0,1,na,na
189,Burkitt Lymphoma Diagnosis / Treatment,1,0,0,0,1,na,na
190,Environmental Policy,1,0,0,0,1,Environmental Work,Environment
191,Transverse Myelitis,1,0,0,0,1,na,na
192,Space Maintainers,1,0,0,0,1,na,na
193,Fire Detection,1,0,0,0,1,Fire Inspection,Public Safety and National Security
194,Oil Stripping,1,0,0,0,1,na,na
195,Silver Quarrying,1,0,0,0,1,na,na
196,Diagnostic Image Reading,1,0,0,0,1,na,na
197,Service Improvement,1,0,0,0,1,Advanced Customer Service,Customer and Client Support
198,DNA Function,1,0,0,0,1,na,na
199,Optical Particle Detectors,1,0,0,0,1,na,na
200,Staffing,1,0,0,0,1,Recruitment,Human Resources
201,Gas Pipe Sizing,1,0,0,0,1,na,na
202,Drug Usage Review,1,0,0,0,1,na,na
203,Postoperative Complications,1,0,0,0,1,na,na
204,Incus,1,0,0,0,1,na,na
205,PCTE,1,0,0,0,1,na,na
206,Archival Principles,1,0,0,0,1,Archiving,Education and Training
207,Residential Energy Efficiency,1,0,0,0,1,Energy Efficiency,Energy and Utilities
208,Information Systems Management,1,0,0,0,1,IT Management,Information Technology
209,Print Shop,1,0,0,0,1,Graphic and Visual Design Software,Design
210,Lutetium Quarrying,1,0,0,0,1,na,na
211,Agricultural Biotechnology,1,0,0,0,1,na,na
212,Disposal Procedure,1,0,0,0,1,na,na
213,Vnu Publishing and Media,1,0,0,0,1,na,na
215,Vanadium Mining,1,0,0,0,1,na,na
216,Pelvic Surgery,1,0,0,0,1,na,na
217,Oxygen Mask,1,0,0,0,1,na,na
218,Eyelids Disease knowledge,1,0,0,0,1,na,na
219,Diagnostic Endoscopic Procedures,1,0,0,0,1,na,na
220,Greenhouse Gas (GHG) Emissions,1,0,0,0,1,na,na
221,Acute Illness,1,0,0,0,1,General Medicine,Health Care
222,Uterine Sarcoma,1,0,0,0,1,na,na
223,Microsoft Dynamics,1,1,0,0,1,Enterprise Resource Planning (ERP),Information Technology
224,Controls Adjustment,1,0,0,0,1,na,na
225,Bioinformatic Algorithms,1,0,0,0,1,na,na
226,Green Roof Creation,1,0,0,0,1,na,na
227,Logging Arches,1,0,0,0,1,na,na
228,Debugging,1,1,0,0,1,Programming Principles,Information Technology
229,Vehicle Tracking Systems,1,0,0,0,1,na,na
230,Bolus,1,0,0,0,1,na,na
231,Restoration Needs Assessment,1,0,0,0,1,na,na
232,DART Search,1,0,0,0,1,na,na
233,Consumer Media Relations,1,0,0,0,1,na,na
234,EDS/DWP Specific Systems,1,0,0,0,1,na,na
235,Tool Sockets,1,0,0,0,1,Hand Tools,"Maintenance, Repair, and Installation"
236,Sonata,1,0,0,0,1,na,na
237,Ytterbium Extraction,1,0,0,0,1,na,na
238,Newborn Screening,1,0,0,0,1,na,na
239,Bariatrician,1,0,0,0,1,na,na
240,Financial Statement Generation,1,0,0,0,1,na,na
241,Decubitus,1,0,0,0,1,na,na
242,Management Industry Knowledge,1,0,0,0,1,Management Industry Knowledge,Industry Knowledge
243,Convulsion,1,0,0,0,1,na,na
244,Motif,1,0,0,0,1,na,na
245,Electrical Control,1,0,0,0,1,Electrical Construction,Architecture and Construction
246,Urologic Surgery,1,0,0,0,1,na,na
247,Applix,1,0,0,0,1,na,na
248,Boom Roof Bolters,1,0,0,0,1,na,na
249,Bay Networks,1,0,0,0,1,na,na
250,Paychex,1,1,0,0,1,Payroll,Human Resources
252,Stewardship Forestry,1,0,0,0,1,na,na
253,Inventory Checking,1,0,0,0,1,Basic Customer Service,Customer and Client Support
254,Macro II,1,0,0,0,1,na,na
255,Energy - Efficient Systems,1,0,0,0,1,na,na
256,Treatment Administration,1,0,0,0,1,General Medical Tests and Procedures,Health Care
257,Urban Studies,1,0,0,0,1,Urban Planning,"Economics, Policy, and Social Studies"
258,Pervasive Developmental Disorder,1,0,0,0,1,na,na
259,Solar Photovoltaic Technology,1,0,0,0,1,na,na
260,Prophylaxis,1,0,0,0,1,Basic Patient Care,Health Care
261,Toggle Presses,1,0,0,0,1,na,na
262,Patient Restraint,1,0,0,0,1,Advanced Patient Care,Health Care
263,Online Game Programming,1,0,0,0,1,Animation and Game Design,Design
264,Packaging,1,0,0,0,1,Packaging and Labeling,Marketing and Public Relations
266,Process Improvement,1,0,0,0,1,Process Improvement,Business
267,Neuropsychology,1,0,0,0,1,Mental and Behavioral Health Specialties,Health Care
268,Matra Marconi Space,1,0,0,0,1,na,na
269,Electrosurgery,1,0,0,0,1,na,na
