SkillId,Skill_US,Phases
3,anxiety reduction,Support Activities
5,injections,Software
11,hm customs and excise,Support Activities
12,behavioral health,Support Activities
13,energy management,Support Activities
14,logistics planning,Supply Chain and Logistics
15,public access to court electronic records (pacer),Support Activities
17,performance analysis,Support Activities
18,radiculopathy,Production and Assembling
19,electronic health records,Support Activities
21,scattered castles,Tooling and Machining
22,property claims,Support Activities
23,15/16 wrenches,Tooling and Machining
27,critical program information,Support Activities
28,organizational analysis,Support Activities
30,jdbc,Software
32,differential diagnosis,Tooling and Machining
33,j++,Software
34,viral pathogens,Support Activities
35,advertising sales,Support Activities
37,document delivery,Support Activities
39,suspension cell culture,Materials
42,knowledge of healthcare applications,Support Activities
44,water distribution system design,Software
45,health level seven (hl7),Software
46,materials management applications,Supply Chain and Logistics
47,adaptive clinical trials,Materials
49,elder care industry knowledge,Support Activities
50,soil collection,Support Activities
51,3d modeling / design,Design
53,procedure standardization,Support Activities
54,warehouse management systems,Supply Chain and Logistics
55,electrical testing instruments,Tooling and Machining
58,digital industry knowledge,Support Activities
61,payroll preparation,Support Activities
62,electrical part installation,Tooling and Machining
67,restoration planning,Support Activities
70,psychiatric evaluation,Support Activities
72,calibration,Tooling and Machining
73,security officer evaluation,Support Activities
74,stem cell preparation,Materials
75,e-commerce,Support Activities
76,pegasus,Software
77,chi square automatic interaction detection (chaid),Support Activities
78,leadership in energy and environmental design (leed) rating system,Production and Assembling
80,pipe laying,Tooling and Machining
83,standards establishment,Support Activities
84,jbuilder,Software
85,investment analysis,Support Activities
86,nodule,Software
87,production schedule development,Production and Assembling
88,stripping tools,Tooling and Machining
92,seismic sensing,Tooling and Machining
93,telehealth,Software
94,target market,Support Activities
95,aviation ground operations,Supply Chain and Logistics
99,regulatory compliance,Support Activities
101,creatinine,Materials
102,web communications,Software
103,product advertising,Support Activities
104,fortran,Software
105,traditional and herbal medicine,Support Activities
107,software development,Software
110,ability to communicate medical terminology,General Skills
111,jigsaws,Materials
112,advanced manufacturing plant design,Production and Assembling
113,leukodystrophy,Software
114,healthcare delivery systems,Support Activities
115,varus,Software
116,investment planning,Support Activities
